model,params,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
rf_7,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12}",0.6149329703262532,score>=0.45,3919,0.29421921921921923,0.5050647288329124,17635.896912477674,5640.0,1240140,0.13625924980862464,0.0824189844348048,0.028068384792038787,0.0824189844348048
rf_7,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12}",0.6149329703262532,score>=0.50,1304,0.09789789789789789,0.5722730050254144,24505.674846625767,7775.0,778840,0.1955521472392638,0.12883435582822086,0.04831288343558282,0.12883435582822086
rf_8,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': 12}",0.620766081354202,ALL,13320,1.0,0.40893340932161915,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
rf_8,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': 12}",0.620766081354202,top_1pct,133,0.009984984984984985,0.7093852329373892,26981.654135338347,11020.0,276510,0.2706766917293233,0.16541353383458646,0.06015037593984962,0.16541353383458646
rf_8,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': 12}",0.620766081354202,top_3pct,399,0.029954954954954954,0.6746729927869054,28480.501253132832,10970.0,778840,0.2556390977443609,0.14536340852130325,0.047619047619047616,0.14536340852130325
rf_8,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': 12}",0.620766081354202,top_5pct,666,0.05,0.6496530341466326,28604.594594594593,10330.0,778840,0.24174174174174173,0.14714714714714713,0.05405405405405406,0.14714714714714713
rf_8,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': 12}",0.620766081354202,top_10pct,1332,0.1,0.5937003206612175,25849.369369369368,8115.0,778840,0.2042042042042042,0.13288288288288289,0.04954954954954955,0.13288288288288289
rf_8,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': 12}",0.620766081354202,score>=0.35,10307,0.7737987987987988,0.451521611641917,14840.0,4620.0,1240140,0.10905210051421364,0.06413117298923061,0.02309110313379257,0.06413117298923061
rf_8,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': 12}",0.620766081354202,score>=0.40,8088,0.6072072072072072,0.47161944798208005,15436.902818991099,4970.0,1240140,0.11733432245301681,0.06812561819980217,0.02361523244312562,0.06812561819980217
rf_8,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': 12}",0.620766081354202,score>=0.45,4394,0.3298798798798799,0.509805103164961,17380.584888484296,5700.0,1240140,0.13290851160673645,0.07965407373691398,0.027992717341829766,0.07965407373691398
rf_8,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 'sqrt', 'max_depth': 12}",0.620766081354202,score>=0.50,1500,0.11261261261261261,0.5834940376014899,24327.06,7825.0,778840,0.19266666666666668,0.122,0.04466666666666667,0.122
