rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_direct_expected_return,avg_hit_payout,max_hit_payout,max_hit_share
odds_all_score>=0.5_top2,13294,26420,1.987362720024071,2642000,11642580,9000580,4.406729750189251,4.394261922785768,6584,0.24920514761544285,0.4952610200090266,0.868402502595193,0.5006546707228078,28.6215821347464,26.2,2301.5159934645217,1768.3140947752127,32940,0.0028292698010234847
odds_all_score>=0.6_top2,13264,26102,1.9678829915560916,2610200,11484180,8873980,4.399731821316374,4.387112098689755,6564,0.2514749827599418,0.49487334137515077,0.8721784592458842,0.6002516726131829,27.918090567772584,25.9,2270.9873884001586,1749.5703839122486,32940,0.0028682936004137865
odds_all_score>=0.8_top2,11435,18498,1.6176650634018364,1849800,8036770,6186970,4.3446696940209755,4.3414747540274625,5841,0.3157638663639312,0.5108001749016179,0.9254630549188592,0.800013643138211,19.30368147907882,18.4,1729.8790495615876,1375.9236432117789,5910,0.0007353700553829461
odds_all_score>=0.7_top2,13037,24732,1.8970622075630896,2473200,10760680,8287480,4.3509137958919615,4.3375950185993855,6449,0.26075529678149767,0.49466901894607657,0.8837806850146,0.7000317298417742,25.87046336729743,24.5,2159.3176240130883,1668.5811753760272,32940,0.003061144834713048
odds_all_score>=0.9_top3,9578,15063,1.5726665274587597,1506300,6509120,5002820,4.321264024430724,4.319013476731063,5429,0.36041957113456813,0.5668197953643767,0.952540341188238,0.9000051206590312,15.101042289052646,14.9,1420.3528889277623,1198.9537668078835,3390,0.0005208077282336168
odds_10plus_score>=0.8_top3,10148,17812,1.75522270398108,1781200,7686280,5905080,4.3152256905457,4.311902088479677,3716,0.20862339995508647,0.3661805281828932,0.8998839317405652,0.8000017257731068,24.70427240062879,24.4,2177.5623899211737,2068.4284176533906,5920,0.0007702035314872735
odds_all_score>=0.9_top5,9578,15367,1.6044059302568385,1536700,6591280,5054580,4.289243183445045,4.28703715754539,5466,0.3556972733780178,0.5706828147838797,0.9520139809173853,0.9000051206590312,15.2524435478623,15.2,1433.8242183222735,1205.8690084156603,3390,0.0005143158840164581
odds_all_score>=0.9,9578,15374,1.6051367717686365,1537400,6593920,5056520,4.28900741511643,4.2868023936516195,5467,0.3556003642513334,0.5707872207141366,0.9519967936503763,0.9000051206590312,15.256179263691948,15.2,1434.1466123038851,1206.1313334552772,3390,0.000514109967970494
odds_all_score>=0.9_top10,9578,15374,1.6051367717686365,1537400,6593920,5056520,4.28900741511643,4.2868023936516195,5467,0.3556003642513334,0.5707872207141366,0.9519967936503763,0.9000051206590312,15.256179263691948,15.2,1434.1466123038854,1206.1313334552772,3390,0.000514109967970494
odds_10plus_score>=0.7_top2,12607,23410,1.8569048941064488,2341000,10029590,7688590,4.2843186672362235,4.2702477573686455,4151,0.1773173857325929,0.32926152137701276,0.8568733437125501,0.7000317298417742,31.027069628363947,30.3,2553.7315068087255,2416.1864610937123,32940,0.0032842818101238434
