rule,race_id,combination,race_date,odds,estimated_payout,is_hit,hit_payout,hit_popularity,return_yen,direct_ticket_score,direct_expected_return,direct_ticket_rank,direct_expected_rank,race_score,month,day,expected_return
high_odds_v1_top2,1320260122020009,1-5-3,2026-01-23,104.3,10430,0,9810.0,29.0,0.0,0.6087131982710458,6348.878657967007,25,255,0.4772875870114411,2026-01,2026-01-23,6348.878657967007
high_odds_v1_top2,1320260122020009,7-3-9,2026-01-23,106.9,10690,0,9810.0,29.0,0.0,0.5552933313803854,5936.08571245632,30,280,0.4772875870114411,2026-01,2026-01-23,5936.08571245632
high_odds_v1_top2,1320260122030001,3-4-9,2026-01-24,100.9,10090,0,16780.0,57.0,0.0,0.5266356521881687,5313.753730578622,25,211,0.4736301849951318,2026-01,2026-01-24,5313.753730578622
high_odds_v1_top2,1320260122030001,2-5-7,2026-01-24,112.1,11210,0,16780.0,57.0,0.0,0.4989710367398264,5593.465321853455,29,183,0.4736301849951318,2026-01,2026-01-24,5593.465321853453
high_odds_v1_top2,1320260122030004,3-1-7,2026-01-24,104.1,10410,0,51200.0,185.0,0.0,0.5502530450676696,5728.1341991544405,19,411,0.5430995767467064,2026-01,2026-01-24,5728.1341991544405
high_odds_v1_top2,1320260122030004,1-7-8,2026-01-24,110.5,11050,0,51200.0,185.0,0.0,0.5365735325164426,5929.13753430669,23,397,0.5430995767467064,2026-01,2026-01-24,5929.13753430669
high_odds_v1_top2,1320260122030005,2-4-7,2026-01-24,105.8,10580,0,2980.0,1.0,0.0,0.5522215829632783,5842.504347751485,24,385,0.5961676638574448,2026-01,2026-01-24,5842.504347751484
high_odds_v1_top2,1320260122030005,9-3-4,2026-01-24,117.4,11740,0,2980.0,1.0,0.0,0.5442466359759672,6389.455506357856,26,339,0.5961676638574448,2026-01,2026-01-24,6389.4555063578555
high_odds_v1_top2,1320260122030006,2-7-1,2026-01-24,103.2,10320,0,227190.0,306.0,0.0,0.571677064500044,5899.707305640453,24,300,0.491381592610204,2026-01,2026-01-24,5899.707305640454
high_odds_v1_top2,1320260122030006,2-9-4,2026-01-24,121.5,12150,0,227190.0,306.0,0.0,0.4489899697516586,5455.228132482652,29,328,0.491381592610204,2026-01,2026-01-24,5455.228132482653
high_odds_v1_top2,1320260122030007,7-5-9,2026-01-24,107.7,10770,0,2540.0,5.0,0.0,0.5628029583781454,6061.387861732626,22,374,0.5674086166331912,2026-01,2026-01-24,6061.387861732626
high_odds_v1_top2,1320260122030007,1-5-7,2026-01-24,121.4,12140,0,2540.0,5.0,0.0,0.4905549740880835,5955.337385429334,23,382,0.5674086166331912,2026-01,2026-01-24,5955.337385429334
high_odds_v1_top2,1320260122030008,3-7-1,2026-01-24,104.8,10480,0,71640.0,204.0,0.0,0.5878210335150169,6160.364431237377,24,350,0.4828852004369073,2026-01,2026-01-24,6160.364431237377
high_odds_v1_top2,1320260122030008,3-2-5,2026-01-24,117.5,11750,0,71640.0,204.0,0.0,0.5307449919228363,6236.253655093326,29,347,0.4828852004369073,2026-01,2026-01-24,6236.253655093326
high_odds_v1_top2,1320260122030010,3-7-1,2026-01-24,101.2,10120,0,15020.0,53.0,0.0,0.5799007396255456,5868.595485010521,24,442,0.6771138844925557,2026-01,2026-01-24,5868.595485010521
high_odds_v1_top2,1320260122030010,5-1-9,2026-01-24,100.0,10000,0,15020.0,53.0,0.0,0.5712815001622661,5712.815001622661,26,450,0.6771138844925557,2026-01,2026-01-24,5712.815001622661
high_odds_v1_top2,1320260122030011,8-5-9,2026-01-24,112.0,11200,0,34450.0,95.0,0.0,0.4880358480928877,5466.001498640342,24,427,0.6744451998640137,2026-01,2026-01-24,5466.001498640342
high_odds_v1_top2,1320260122030011,5-2-6,2026-01-24,100.3,10030,0,34450.0,95.0,0.0,0.4800045587353094,4814.445724115153,26,468,0.6744451998640137,2026-01,2026-01-24,4814.445724115153
high_odds_v1_top2,1320260122040002,5-7-4,2026-01-25,122.6,12260,0,1920.0,1.0,0.0,0.5344999397296197,6552.969261085138,26,156,0.4896471241632193,2026-01,2026-01-25,6552.969261085137
high_odds_v1_top2,1320260122040002,1-5-2,2026-01-25,106.1,10610,0,1920.0,1.0,0.0,0.4989212933502089,5293.554922445716,29,236,0.4896471241632193,2026-01,2026-01-25,5293.554922445716
high_odds_v1_top2,1320260122040004,5-2-7,2026-01-25,106.4,10640,0,2040.0,1.0,0.0,0.5487965669074192,5839.19547189494,23,350,0.4579129028434822,2026-01,2026-01-25,5839.195471894941
high_odds_v1_top2,1320260122040004,3-2-7,2026-01-25,104.8,10480,0,2040.0,1.0,0.0,0.5478394509005076,5741.357445437319,24,353,0.4579129028434822,2026-01,2026-01-25,5741.357445437319
high_odds_v1_top2,1320260122040005,7-2-3,2026-01-25,107.9,10790,0,83310.0,223.0,0.0,0.5827093823727097,6287.434235801538,20,374,0.6617260682472802,2026-01,2026-01-25,6287.434235801538
high_odds_v1_top2,1320260122040005,7-4-2,2026-01-25,100.4,10040,0,83310.0,223.0,0.0,0.5623272596482749,5645.76568686868,22,411,0.6617260682472802,2026-01,2026-01-25,5645.765686868681
high_odds_v1_top2,1320260122040006,4-7-3,2026-01-25,100.1,10010,0,40240.0,170.0,0.0,0.5338493168086617,5343.831661254703,15,369,0.492416446700984,2026-01,2026-01-25,5343.831661254702
