rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
odds_30_500_score>=0.5_expected>=500_top3_by_direct_ticket_score,2128,6381,2.99859022556391,638100,580280,-57820,0.9093872433787807,0.8990126939351198,155,0.02429086350101865,0.07283834586466166,0.8007750716378024,0.5196480422436865,38.66013164080865,36.9,3072.486311978925,6620,0.011408285655200938,2026-02
odds_30_500_score>=0.5_expected>=500_top3_by_direct_ticket_score,2256,6763,2.9977836879432624,676300,470040,-206260,0.6950170042880378,0.6854058849622948,126,0.018630785154517226,0.05585106382978723,0.8000913316216336,0.5243038417777622,38.5293656661245,36.7,3062.019837875325,6500,0.013828610331035657,2026-03
odds_30_500_score>=0.5_expected>=500_top3_by_direct_ticket_score,2333,6997,2.9991427346763824,699700,623620,-76080,0.8912676861512077,0.8784621980848936,167,0.023867371730741747,0.07158165452207459,0.7999061652908922,0.5061276520351743,38.49859939974274,36.6,3056.2747862684014,8960,0.01436772393444726,2026-04
odds_30_500_score>=0.5_expected>=500_top3_by_direct_ticket_score,2306,6916,2.9991326973113615,691600,559880,-131720,0.8095430884904569,0.8009687680740313,150,0.021688837478311164,0.06504770164787511,0.8004399456185415,0.5042927251654602,38.361119144013884,36.5,3047.8938392900463,5930,0.010591555333285704,2026-05
odds_30_500_score>=0.5_expected>=500_top3_by_direct_ticket_score,1977,5928,2.998482549317147,592800,439690,-153110,0.741717273954116,0.7326248313090419,119,0.02007422402159244,0.06019221041982802,0.7998572778651453,0.5246290259945272,38.47140688259109,36.7,3055.2421779710435,5390,0.012258636766812983,2026-06
odds_30_500_score>=0.5_expected>=500_top5_by_direct_ticket_score,2305,11495,4.9869848156182215,1149500,944990,-204510,0.8220878642888212,0.8149630274032188,233,0.02026968247063941,0.10108459869848156,0.7792139690330958,0.5006519075427881,41.982383645063074,39.5,3232.9313760814093,8190,0.008666758378395539,2026-01
odds_30_500_score>=0.5_expected>=500_top5_by_direct_ticket_score,2128,10621,4.991071428571429,1062100,900830,-161270,0.848159307033236,0.84176631202335,227,0.021372752094906317,0.10667293233082707,0.7818491668636156,0.5024457966551268,41.818689388946424,39.5,3233.832123183247,6790,0.007537493200714896,2026-02
odds_30_500_score>=0.5_expected>=500_top5_by_direct_ticket_score,2256,11254,4.988475177304965,1125400,943900,-181500,0.8387240092411588,0.8314910254131864,225,0.019992891416385286,0.09973404255319149,0.7809142717951388,0.5045736203394111,41.7701439488182,39.4,3227.644679283572,8140,0.008623794893526857,2026-03
odds_30_500_score>=0.5_expected>=500_top5_by_direct_ticket_score,2333,11643,4.990570081440206,1164300,981160,-183140,0.8427037705058834,0.835008159409087,250,0.021472129176329124,0.10715816545220745,0.7810572188546283,0.5007170061025321,41.64993558361247,39.1,3216.4107122962564,8960,0.009132047780178565,2026-04
odds_30_500_score>=0.5_expected>=500_top5_by_direct_ticket_score,2306,11511,4.991760624457936,1151100,935800,-215300,0.8129615150725393,0.8065589436191469,238,0.020675875249761097,0.10320901994796183,0.781580328172165,0.5008546297037823,41.44242029363218,39.0,3203.608799375383,7370,0.007875614447531524,2026-05
odds_30_500_score>=0.5_expected>=500_top5_by_direct_ticket_score,1977,9869,4.991906929691452,986900,730380,-256520,0.740074982267707,0.7331340561353734,188,0.019049549093119872,0.09509357612544259,0.7813591419419121,0.5028559376468363,41.583372175499036,39.2,3213.6547075809,6850,0.00937867959144555,2026-06
odds_30_500_score>=0.5_expected>=500_top10_by_direct_ticket_score,2305,22544,9.780477223427331,2254400,1809170,-445230,0.8025062100780695,0.7971078779276083,390,0.017299503193754437,0.16919739696312364,0.7423987034999304,0.5004939768969184,49.47366926898509,46.2,3595.693518773596,12170,0.006726841590342533,2026-01
odds_30_500_score>=0.5_expected>=500_top10_by_direct_ticket_score,2128,20843,9.794642857142858,2084300,1753080,-331220,0.8410881351053111,0.8363719234275296,385,0.018471429256824833,0.18092105263157895,0.7457913820180511,0.5001033805454665,49.22849397879384,46.1,3596.961624544707,9830,0.005607274054806398,2026-02
odds_30_500_score>=0.5_expected>=500_top10_by_direct_ticket_score,2256,22071,9.783244680851064,2207100,1833140,-373960,0.8305649947895428,0.826151964115808,386,0.017489012731638803,0.17109929078014185,0.7444897595113157,0.5000567165479454,49.11660096959812,46.1,3582.768138101345,9740,0.005313287583054213,2026-03
odds_30_500_score>=0.5_expected>=500_top10_by_direct_ticket_score,2333,22801,9.773253321903129,2280100,1708960,-571140,0.7495109863602474,0.7447392658216745,387,0.016972939783342834,0.16588084012001714,0.7453657133866604,0.5003969672635147,49.07352309109249,45.8,3581.584190653353,10880,0.006366445089411104,2026-04
