race_id,entry_count,result_count,diff
2220230916010012,7,6,-1
2220230916020002,7,6,-1
2220230916030007,7,6,-1
2220231008010012,7,5,-2
2220231008020002,7,6,-1
2220231014010004,7,5,-2
2220231023010005,7,6,-1
2220231101010007,7,6,-1
2220231101020004,7,5,-2
2220231107010002,7,5,-2
2220231107010005,7,5,-2
2220231107030002,7,6,-1
2220231117010001,7,6,-1
2220231117020012,7,6,-1
2220231117030005,7,6,-1
2220231123010005,7,6,-1
2220231123010006,7,0,-7
2220240119020008,7,6,-1
2220240131020003,7,6,-1
2220240218010005,7,6,-1
2220240218010011,7,5,-2
2220240218020003,7,6,-1
2220240218030007,6,5,-1
2220240225010006,7,3,-4
2220240315010005,7,6,-1
2220240315010007,7,6,-1
2220240315020006,7,6,-1
2220240315030006,7,6,-1
2220240329010004,7,4,-3
2220240329010005,7,6,-1
2220240329010012,7,6,-1
2220240329020004,7,6,-1
2220240404020002,7,6,-1
2220240404020007,7,5,-2
2220240404030001,6,5,-1
2220240404030005,7,4,-3
2220240414010003,7,6,-1
2220240414030001,6,5,-1
2220240414030005,7,6,-1
2220240501010002,7,5,-2
2220240523010003,7,6,-1
2220240523010006,7,6,-1
2220240523020002,7,6,-1
2220240523030005,7,5,-2
2220240601010011,9,8,-1
2220240601020009,9,8,-1
2220240816010003,7,5,-2
2220240816010010,7,5,-2
2220240816020005,7,6,-1
2220240816020006,7,6,-1
2220240901010012,7,6,-1
2220240901020008,7,5,-2
2220240901020010,7,6,-1
2220240901030011,7,6,-1
2220240901030012,7,5,-2
2220240914010004,7,6,-1
2220240914010012,7,5,-2
2220240914020002,7,5,-2
2220241111010007,7,6,-1
2220241111030006,7,6,-1
2220241111030007,7,6,-1
2220241204020003,7,6,-1
2220241221010002,7,6,-1
2220250101010001,5,2,-3
2220250123020003,7,6,-1
2220250131010005,7,6,-1
2220250205010005,7,6,-1
2220250205010008,7,5,-2
2220250214010006,7,6,-1
2220250222010008,7,6,-1
2220250222020004,7,4,-3
2220250222030005,7,6,-1
2220250304030002,7,5,-2
2220250321010003,7,6,-1
2220250321020001,7,5,-2
2220250321030010,7,6,-1
2220250327020008,9,7,-2
2220250327020012,9,8,-1
2220250327030005,9,7,-2
2220250327030008,9,6,-3
2220250327030012,9,8,-1
2220250410010011,7,5,-2
2220250410020005,7,6,-1
2220250604020005,7,3,-4
2220250626010003,7,4,-3
2220250702010006,7,6,-1
2220250702020003,7,5,-2
2220250702020010,7,6,-1
2220250803010002,7,5,-2
2220250803020002,7,5,-2
2220250803020006,7,6,-1
2220250812030006,7,6,-1
